User ID,Age,Gender
1,4,21,F
2,13,21,F
3,17,18,F
4,18,19,F
5,22,19,F
6,23,26,M
7,24,18,F
8,25,20,F
9,27,22,F
10,29,19,M
11,31,21,M
12,32,18,M
13,33,19,F
14,34,20,M
15,98,18,F
16,114,18,m
17,319,19,M
18,356,18,M
19,419,20,F
20,567,19,M
21,3456,54,M
22,4,21,F
23,13,21,F
24,17,18,F
25,18,19,F
26,22,19,F
27,23,26,M
28,24,18,F
29,25,20,F
30,27,22,F
31,29,19,M
32,31,21,M
33,32,18,M
34,33,19,F 
35,34,20,M
36,98,18,F
37,114,18,m
38,319,19,M
39,356,18,M
40,419,20,F
41,567,19,M
42,3456,54,M
43,4,21,F
44,13,21,F
45,17,18,F
46,18,19,F
47,22,19,F
48,23,26,M
49,24,18,F
50,25,20,F
51,27,22,F
52,29,19,M
53,31,21,M
54,32,18,M
55,33,19,F
56,34,20,M
57,98,18,F
58,114,18,m
59,319,19,M
60,356,18,M
61,419,20,F
62,567,19,M
63,3456,54,M
63,000,18,M
63,111,18,M
