ID,KHT_Mean,KHT_Median,KHT_Mode,KHT_Stdev,KIT_F1_Mean,KIT_F1_Median,KIT_F1_Mode,KIT_F1_Stdev,KIT_F2_Mean,KIT_F2_Median,KIT_F2_Mode,KIT_F2_Stdev,KIT_F3_Mean,KIT_F3_Median,KIT_F3_Mode,KIT_F3_Stdev,KIT_F4_Mean,KIT_F4_Median,KIT_F4_Mode,KIT_F4_Stdev, Target
1,1034829765128.9824,1034231840000.0,0,607544064719.7189,-1033850784591.2448,-1034368805120.0,0,607256695146.9208,18116726.586169045,0.0,0,201643151698.05634,2114907832.061471,192947968.0,162797056,20759032188.73987,1035983809149.8925,1034042636032.0,4023422976,606809500886.0737,0
2,121558867166.85258,115597031424.0,0,79003198201.81596,-121378952901.80658,-115232269824.0,3301954048,79000218964.59906,27132793.491525423,105554944.0,0,31981667006.73814,301109546.3688933,167780864.0,117441024,1237345364.849582,121707195241.66699,115751643904.0,3301954048,78960194231.30676,0
3,976267241642.7156,1148906931456.0,0,677145459294.1027,-975628713873.6982,-1148376624896.0,2258616064,676830537453.0688,14648429.714285715,0.0,0,142245529543.5457,1198635193.9414802,148060928.0,125978112,17673638386.04654,976841997497.354,1149080036096.0,2258616064,676910206733.8857,0
4,781445479257.851,854623721984.0,0,576010462673.8896,-781035335299.2015,-854552883968.0,1548900864,575860594824.0718,4571166.257969593,0.0,0,115967168237.53,793393335.4310937,119249920.0,96186880,12428489373.616241,781833299800.8906,854696914176.0,1548900864,575881609388.309,0
5,1239539302979.9001,1284295543808.0,0,801484987571.6967,-1238963817124.3977,-1284586777856.0,1609219840,801291896900.0105,904529.2393803098,0.0,0,214376032776.51462,1194945777.0314844,141158912.0,98816000,16714670191.580662,1240159667430.6687,1284817658880.0,1609219840,801173364888.1973,0
6,1386259252633.9626,1616311419136.0,0,761736972255.5249,-1385843930435.4421,-1616183646976.0,447215104,761535392439.7747,929268.6222222223,0.0,0,195502278500.62338,861663502.4283414,169181952.0,171872000,14278993836.607609,1386706523206.4927,1616564120064.0,816719104,761425937397.759,0
7,1.370274963193337e+18,1.652459238513707e+18,0,6.218281153705705e+17,-1.3701414160440236e+18,-1.652459238471459e+18,0,6.219449316992946e+17,-0.012304779933743492,0.0,0,2.5419433435967562e+17,782044528960306.8,117341952.0,0,3.593999560054694e+16,1.3709234605729838e+18,1.6524592385559552e+18,0,6.21260139243235e+17,0
8,1989599254573.4148,1758543813504.0,0,1307469845399.3372,-1989314540100.2183,-1758419403776.0,0,1307343498256.7886,1280571.5219921505,0.0,0,283688215662.9591,553979496.1461632,132091904.0,88084992,11710523840.679438,1989869800167.8862,1758673302016.0,1389571072,1307335976282.267,0
9,197247292373320.78,655148590080.0,0,214719283528659.38,-197023250929285.75,-655026888192.0,7466212096,214699353810293.22,14963374.334288443,0.0,0,75402401156694.9,412434273426.9494,176047872.0,7466212096,13283078415085.4,197435700166087.03,655238361088.0,7466212096,214735154964201.6,0
10,1615762331944.3655,1903850280064.0,0,1089131377465.1235,-1615097714860.0735,-1903735833088.0,0,1088862698284.7041,7146029.943799175,0.0,0,301686691774.4436,1269998250.2510304,139751936.0,91237888,17024353817.31848,1616374859140.2683,1903986479104.0,4023398912,1088843581499.5629,0
11,1195373735940.9834,1154496289024.0,0,751406921754.5698,-1194557235731.0244,-1154549760128.0,186287104,751318060302.8494,16359978.297258297,0.0,0,223291330072.98056,1678963222.903319,146136448.0,131918080,21656117611.13253,1196252558932.225,1154814804992.0,186287104,750920212962.8999,0
