EID,key,direction,time
0,t,0,1494347136644
1,t,1,1494347136737
2,h,0,1494347136800
3,i,0,1494347136878
4,h,1,1494347136940
5,i,1,1494347137003
6,s,0,1494347137081
7,s,1,1494347137143
8,SPACE,0,1494347137283
9,SPACE,1,1494347137361
10,i,0,1494347137439
11,s,0,1494347137611
12,i,1,1494347137673
13,SPACE,0,1494347137751
14,s,1,1494347137814
15,SPACE,1,1494347137876
16,a,0,1494347137954
17,a,1,1494347138017
18,SPACE,0,1494347138095
19,SPACE,1,1494347138157
20,t,0,1494347138219
21,t,1,1494347138282
22,e,0,1494347138375
23,e,1,1494347138438
24,s,0,1494347138609
25,s,1,1494347138672
26,t,0,1494347138734
27,t,1,1494347138797
28,SPACE,0,1494347138921
29,SPACE,1,1494347139031
30,t,0,1494347139124
31,o,0,1494347139249
32,t,1,1494347139311
33,o,1,1494347139389
34,SPACE,0,1494347139452
35,SPACE,1,1494347139561
36,s,0,1494347139655
37,s,1,1494347139733
38,e,0,1494347139795
39,e,1,1494347139857
40,e,0,1494347139935
41,e,1,1494347140013
42,SPACE,0,1494347140076
43,SPACE,1,1494347140216
44,i,0,1494347140778
45,f,0,1494347140871
46,i,1,1494347140949
47,f,1,1494347141012
48,SPACE,0,1494347141371
49,SPACE,1,1494347141464
50,t,0,1494347141573
51,t,1,1494347141683
52,h,0,1494347141745
53,e,0,1494347141823
54,h,1,1494347141885
55,SPACE,0,1494347141963
56,e,1,1494347142026
57,SPACE,1,1494347142088
58,w,0,1494347142151
59,w,1,1494347142244
60,o,0,1494347142322
61,o,1,1494347142385
62,r,0,1494347142603
63,r,1,1494347142728
64,d,0,1494347142837
65,d,1,1494347142931
66,s,0,1494347143009
67,s,1,1494347143149
68,SPACE,0,1494347143430
69,SPACE,1,1494347143523
70,t,0,1494347143679
71,t,1,1494347143742
72,h,0,1494347143835
73,h,1,1494347143898
74,a,0,1494347143960
75,t,0,1494347144038
76,a,1,1494347144101
77,SPACE,0,1494347144179
78,t,1,1494347144241
