EID ,key ,direction ,time
0,Key.tab,0,1651765088987334000
1,Key.tab,1,1651765089171440000
2,Key.cmd,1,1651765089195037000
3,<0>,1,1651765089450354000
4,'f',0,1651765092693144000
5,'a',0,1651765092746455000
6,'f',1,1651765092758192000
7,'a',1,1651765092882721000
8,'c',0,1651765092886052000
9,'c',1,1651765092951578000
10,'e',0,1651765093045575000
11,'e',1,1651765093173626000
12,'b',0,1651765093316360000
13,'b',1,1651765093384470000
14,'o',0,1651765093589701000
15,'o',1,1651765093652648000
16,'o',0,1651765093724292000
17,'o',1,1651765093788759000
18,'k',0,1651765093893569000
19,'k',1,1651765093964561000
20,Key.enter,0,1651765094101762000
21,Key.enter,1,1651765094208694000
22,'f',0,1651765100105738000
23,'f',1,1651765100213495000
24,'p',0,1651765100720245000
25,'p',1,1651765100816659000
26,'d',0,1651765102476538000
27,'d',1,1651765102565601000
28,'1',0,1651765103087667000
29,'1',1,1651765103179577000
30,'s',0,1651765104102807000
31,'s',1,1651765104199553000
32,'o',0,1651765104270672000
33,'o',1,1651765104424433000
34,'c',0,1651765104480593000
35,'c',1,1651765104608361000
36,'i',0,1651765104664159000
37,'i',1,1651765104757482000
38,'a',0,1651765104763251000
39,'a',1,1651765104919640000
40,'l',0,1651765104931884000
41,'l',1,1651765105004708000
42,Key.shift,0,1651765106163497000
43,'@',0,1651765106352859000
44,'@',1,1651765106431425000
45,Key.shift,1,1651765106471006000
46,'g',0,1651765106813011000
47,'g',1,1651765106877577000
48,'m',0,1651765107002423000
49,'m',1,1651765107090325000
50,'a',0,1651765107105344000
51,'a',1,1651765107217529000
52,'i',0,1651765107246296000
53,'i',1,1651765107315565000
54,'l',0,1651765107417386000
55,'l',1,1651765107493675000
56,'.',0,1651765108167603000
57,'.',1,1651765108259852000
58,'c',0,1651765108479262000
59,'c',1,1651765108570891000
60,'o',0,1651765108628831000
61,'o',1,1651765108721935000
62,'m',0,1651765108837494000
63,'m',1,1651765108941559000
64,Key.tab,0,1651765109001023000
65,Key.tab,1,1651765109156433000
66,Key.shift,0,1651765110274413000
67,Key.shift,1,1651765110722434000
68,Key.shift,0,1651765112370617000
69,Key.shift,1,1651765112762661000
70,Key.shift,0,1651765116536995000
71,Key.shift,1,1651765116854438000
72,Key.shift,0,1651765119102679000
73,Key.shift,1,1651765119330534000
74,Key.shift,0,1651765152782375000
75,'T',0,1651765152859600000
76,'T',1,1651765152910183000
77,Key.shift,1,1651765152975507000
78,'h',0,1651765153084399000
79,'h',1,1651765153193124000
80,'i',0,1651765153909698000
81,'i',1,1651765153997889000
82,'s',0,1651765154097114000
83,'s',1,1651765154244705000
84,Key.space,0,1651765154256056000
85,Key.space,1,1651765154352362000
86,'w',0,1651765154356543000
87,'w',1,1651765154468685000
88,'s',0,1651765154779433000
89,'s',1,1651765154871553000
90,Key.space,0,1651765154883366000
91,Key.space,1,1651765154967760000
92,Key.backspace,0,1651765155567543000
93,Key.backspace,1,1651765155658636000
94,Key.backspace,0,1651765155728853000
95,Key.backspace,1,1651765155820758000
96,'a',0,1651765155944563000
97,'a',1,1651765156039937000
98,'s',0,1651765156148863000
99,'s',1,1651765156280844000
100,Key.space,0,1651765156394298000
101,Key.space,1,1651765156470403000
102,'r',0,1651765157158568000
103,'r',1,1651765157234419000
104,'e',0,1651765157259407000
105,'e',1,1651765157347710000
106,'a',0,1651765157484375000
107,'a',1,1651765157588671000
108,'l',0,1651765157645543000
109,'l',1,1651765157705090000
110,'l',0,1651765157787573000
111,'l',1,1651765157867825000
112,'y',0,1651765158047668000
113,'y',1,1651765158127951000
114,Key.space,0,1651765158196791000
115,Key.space,1,1651765158288679000
116,'f',0,1651765158782738000
117,'f',1,1651765158895067000
118,'u',0,1651765158957457000
119,'u',1,1651765159030003000
120,'n',0,1651765159145351000
121,'n',1,1651765159201724000
122,Key.space,0,1651765159270175000
123,Key.space,1,1651765159374647000
124,'t',0,1651765159430411000
125,'o',0,1651765159510627000
126,'t',1,1651765159525601000
127,'o',1,1651765159626973000
128,Key.space,0,1651765159673354000
129,Key.space,1,1651765159761764000
130,'w',0,1651765160013508000
131,'w',1,1651765160153568000
132,'a',0,1651765160291462000
133,'a',1,1651765160411967000
134,'t',0,1651765160428310000
135,'t',1,1651765160512774000
136,'c',0,1651765160602647000
137,'c',1,1651765160742632000
138,'h',0,1651765160743790000
139,'h',1,1651765160830712000
140,' ,',0,1651765163970569000
141,' ,',1,1651765164062030000
142,Key.space,0,1651765164141539000
143,Key.space,1,1651765164209283000
144,'e',0,1651765165118710000
145,'e',1,1651765165238703000
146,'v',0,1651765165270742000
147,'v',1,1651765165366734000
148,'e',0,1651765165394585000
149,'e',1,1651765165501550000
150,'n',0,1651765165852291000
151,'n',1,1651765165964649000
152,Key.space,0,1651765166055403000
153,Key.space,1,1651765166164192000
154,'t',0,1651765166211744000
155,'t',1,1651765166359716000
156,'h',0,1651765166412334000
157,'h',1,1651765166520681000
158,'o',0,1651765166837743000
159,'o',1,1651765166925444000
160,'u',0,1651765167035523000
161,'u',1,1651765167131655000
162,'g',0,1651765167173409000
163,'h',0,1651765167293195000
164,'g',1,1651765167304506000
165,'h',1,1651765167393304000
166,Key.space,0,1651765167485767000
167,Key.space,1,1651765167586601000
168,Key.shift,0,1651765170062592000
169,'I',0,1651765170178518000
170,'I',1,1651765170302383000
171,Key.shift,1,1651765170338797000
172,Key.space,0,1651765170365356000
173,Key.space,1,1651765170480575000
174,'a',0,1651765171378773000
175,'a',1,1651765171530580000
176,'m',0,1651765171531666000
177,'m',1,1651765171638426000
178,Key.space,0,1651765171978726000
179,Key.space,1,1651765172078669000
180,'s',0,1651765172271826000
181,'s',1,1651765172423995000
182,'u',0,1651765172514380000
183,'u',1,1651765172586602000
184,'p',0,1651765172738310000
185,'p',1,1651765172854951000
186,'r',0,1651765173172866000
187,'r',1,1651765173288777000
188,'i',0,1651765173332367000
189,'i',1,1651765173432239000
190,'s',0,1651765173436267000
191,'s',1,1651765173548392000
192,'e',0,1651765173646468000
193,'e',1,1651765173774665000
194,'d',0,1651765173875452000
195,'d',1,1651765174011867000
196,Key.space,0,1651765174060040000
197,Key.space,1,1651765174180469000
198,Key.backspace,0,1651765174979367000
199,Key.backspace,1,1651765175075244000
200,Key.backspace,0,1651765175156211000
201,Key.backspace,1,1651765175235402000
202,Key.backspace,0,1651765175333086000
203,Key.backspace,1,1651765175421784000
204,Key.backspace,0,1651765175597278000
205,Key.backspace,1,1651765175729798000
206,Key.backspace,0,1651765175829482000
207,Key.backspace,1,1651765175925486000
208,Key.backspace,0,1651765176009369000
209,Key.backspace,1,1651765176097227000
210,Key.backspace,0,1651765176201156000
211,Key.backspace,1,1651765176309437000
212,Key.backspace,0,1651765176420364000
213,Key.backspace,1,1651765176536680000
214,'u',0,1651765178552474000
215,'u',1,1651765178651291000
216,'r',0,1651765178754082000
217,'r',1,1651765178886768000
218,'p',0,1651765179103862000
219,'p',1,1651765179290331000
220,'r',0,1651765179372502000
221,'r',1,1651765179492979000
222,'i',0,1651765179606371000
223,'s',0,1651765179694035000
224,'i',1,1651765179745405000
225,'s',1,1651765179810355000
226,'e',0,1651765179943757000
227,'e',1,1651765180027346000
228,'d',0,1651765180223095000
229,'d',1,1651765180383623000
230,Key.space,0,1651765180675672000
231,Key.space,1,1651765180775532000
232,'w',0,1651765181033609000
233,'w',1,1651765181193301000
234,'i',0,1651765181265736000
235,'i',1,1651765181353666000
236,'l',0,1651765181472924000
237,'l',1,1651765181549352000
238,'l',0,1651765181604353000
239,'l',1,1651765181720718000
240,Key.space,0,1651765181815248000
241,Key.space,1,1651765181872072000
242,'s',0,1651765181930347000
243,'m',0,1651765182018501000
244,'s',1,1651765182078352000
245,'m',1,1651765182130621000
246,'i',0,1651765182269087000
247,'i',1,1651765182345639000
248,Key.backspace,0,1651765183664629000
249,Key.backspace,1,1651765183704364000
250,Key.backspace,0,1651765183808191000
251,Key.backspace,1,1651765183863980000
252,Key.backspace,0,1651765183948222000
253,Key.backspace,1,1651765184028425000
254,Key.backspace,0,1651765184104314000
255,Key.backspace,1,1651765184184666000
256,Key.backspace,0,1651765184264571000
257,Key.backspace,1,1651765184336649000
258,Key.backspace,0,1651765184416266000
259,Key.backspace,1,1651765184520433000
260,Key.backspace,0,1651765184607534000
261,Key.backspace,1,1651765184687691000
262,Key.backspace,0,1651765184785328000
263,Key.backspace,1,1651765184877141000
264,Key.shift,0,1651765185199697000
265,'W',0,1651765185399375000
266,Key.shift,1,1651765185522078000
267,'w',1,1651765185543081000
268,'i',0,1651765185587450000
269,'i',1,1651765185667500000
270,'l',0,1651765185780240000
271,'l',1,1651765185852491000
272,'l',0,1651765185901394000
273,'l',1,1651765185981506000
