EID ,key ,direction ,time
0,Key.caps_lock,1,1650982980865678000
1,Key.cmd,0,1650982982274344000
2,Key.tab,0,1650982982678163000
3,Key.tab,1,1650982982810043000
4,Key.cmd,1,1650982982822411000
5,'i',0,1650982986357800000
6,'n',0,1650982986443557000
7,'i',1,1650982986505902000
8,'s',0,1650982986525593000
9,'n',1,1650982986565618000
10,'s',1,1650982986709678000
11,'t',0,1650982986713748000
12,'a',0,1650982986752080000
13,'t',1,1650982986801661000
14,'a',1,1650982986893975000
15,'g',0,1650982986983875000
16,'g',1,1650982987071320000
17,Key.right,0,1650982988333406000
18,Key.right,1,1650982988436186000
19,Key.enter,0,1650982988645735000
20,Key.enter,1,1650982988724854000
21,'f',0,1650983008466852000
22,'f',1,1650983008597001000
23,'p',0,1650983010467445000
24,'p',1,1650983010555709000
25,'d',0,1650983010590166000
26,'d',1,1650983010699148000
27,'1',0,1650983010811536000
28,'1',1,1650983010955414000
29,Key.shift_r,0,1650983011177567000
30,'@',0,1650983011338352000
31,'@',1,1650983011454850000
32,Key.shift_r,1,1650983011657787000
33,Key.backspace,0,1650983011972021000
34,Key.backspace,1,1650983012092267000
35,'s',0,1650983012533365000
36,'o',0,1650983012673542000
37,'s',1,1650983012674953000
38,'o',1,1650983012769394000
39,'c',0,1650983012780690000
40,'i',0,1650983012901158000
41,'c',1,1650983012917033000
42,'i',1,1650983012989427000
43,'a',0,1650983013038642000
44,'l',0,1650983013141393000
45,'a',1,1650983013172315000
46,'l',1,1650983013240148000
47,Key.shift_r,0,1650983013393497000
48,'@',0,1650983013473182000
49,Key.shift_r,1,1650983013565480000
50,'2',1,1650983013597509000
51,'g',0,1650983013816137000
52,'g',1,1650983013908259000
53,'m',0,1650983014028521000
54,'a',0,1650983014101208000
55,'m',1,1650983014128539000
56,'a',1,1650983014245005000
57,'i',0,1650983014256926000
58,'i',1,1650983014337408000
59,'l',0,1650983014444186000
60,'l',1,1650983014532367000
61,'.',0,1650983014642177000
62,'.',1,1650983014734334000
63,'c',0,1650983014886263000
64,'o',0,1650983014970458000
65,'c',1,1650983015014185000
66,'m',0,1650983015062096000
67,'o',1,1650983015142041000
68,Key.tab,0,1650983015178099000
69,'m',1,1650983015208912000
70,Key.tab,1,1650983015337387000
71,Key.shift_r,0,1650983015730315000
72,Key.shift_r,1,1650983015998294000
73,Key.shift_r,0,1650983017033331000
74,Key.shift_r,1,1650983017640880000
75,Key.shift_r,0,1650983067267830000
76,'C',0,1650983067425326000
77,Key.shift_r,1,1650983067500805000
78,'c',1,1650983067589784000
79,'o',0,1650983067623519000
80,'a',0,1650983067710694000
81,'o',1,1650983067729707000
82,'a',1,1650983067866923000
83,'c',0,1650983068295625000
84,'h',0,1650983068407313000
85,'c',1,1650983068438116000
86,'h',1,1650983068527757000
87,Key.space,0,1650983068849269000
88,Key.space,1,1650983068949676000
89,Key.shift_r,0,1650983069261334000
90,'C',0,1650983069337645000
91,Key.shift_r,1,1650983069409580000
92,'c',1,1650983069473576000
93,'a',0,1650983069511247000
94,'a',1,1650983069654141000
95,'r',0,1650983069670752000
96,'t',0,1650983069745461000
97,'r',1,1650983069805125000
98,'e',0,1650983069893384000
99,'t',1,1650983069908555000
100,'r',0,1650983069997506000
101,Key.space,0,1650983070071034000
102,'e',1,1650983070080723000
103,'r',1,1650983070136806000
104,Key.space,1,1650983070165907000
105,'i',0,1650983070840401000
106,'s',0,1650983070871123000
107,'i',1,1650983070924102000
108,Key.space,0,1650983070978835000
109,'s',1,1650983071007210000
110,'a',0,1650983071054354000
111,Key.space,1,1650983071074988000
112,Key.space,0,1650983071144422000
113,'a',1,1650983071179090000
114,Key.space,1,1650983071216515000
115,'m',0,1650983071304726000
116,'o',0,1650983071388326000
117,'m',1,1650983071471995000
118,'o',1,1650983071548786000
119,'v',0,1650983071937534000
120,'i',0,1650983072027204000
121,'v',1,1650983072032350000
122,'e',0,1650983072091336000
123,'i',1,1650983072095170000
124,Key.space,0,1650983072191073000
125,'e',1,1650983072198967000
126,Key.space,1,1650983072287581000
127,'a',0,1650983072311213000
128,'b',0,1650983072387731000
129,'a',1,1650983072470891000
130,'b',1,1650983072471325000
131,'o',0,1650983072553662000
132,'u',0,1650983072619959000
133,'o',1,1650983072734388000
134,'t',0,1650983072738285000
135,'u',1,1650983072753207000
136,'t',1,1650983072842520000
137,Key.space,0,1650983072870547000
138,Key.space,1,1650983072970613000
139,'a',0,1650983072989287000
140,Key.space,0,1650983073122004000
141,'a',1,1650983073129974000
142,Key.space,1,1650983073205845000
143,'b',0,1650983075294177000
144,'a',0,1650983075317073000
145,'b',1,1650983075382232000
146,'s',0,1650983075454120000
147,'a',1,1650983075534296000
148,'k',0,1650983075538611000
149,'s',1,1650983075587329000
150,'k',1,1650983075603267000
151,'e',0,1650983075673120000
152,'t',0,1650983075776957000
153,'e',1,1650983075800081000
154,'t',1,1650983075865744000
155,'b',0,1650983076013333000
156,'a',0,1650983076077206000
157,'b',1,1650983076096183000
158,'a',1,1650983076204926000
159,'l',0,1650983076296275000
160,'l',1,1650983076365096000
161,'l',0,1650983076434253000
162,'l',1,1650983076517605000
163,Key.space,0,1650983076565254000
164,'s',0,1650983076682404000
165,Key.space,1,1650983076684012000
166,'t',0,1650983076813333000
167,'a',0,1650983076836233000
168,'s',1,1650983076877154000
169,'t',1,1650983076878265000
170,'r',0,1650983076973196000
171,'a',1,1650983076996070000
172,'r',1,1650983077040662000
173,'t',0,1650983077294326000
174,'t',1,1650983077372201000
175,Key.backspace,0,1650983077790131000
176,Key.backspace,1,1650983077930507000
177,Key.space,0,1650983078063373000
178,Key.space,1,1650983078183291000
179,'t',0,1650983078308222000
180,'u',0,1650983078404861000
181,'t',1,1650983078411924000
182,'u',1,1650983078484133000
183,'r',0,1650983078491087000
184,'n',0,1650983078604268000
185,'r',1,1650983078611140000
186,'n',1,1650983078728252000
187,'e',0,1650983078758759000
188,'d',0,1650983078899342000
189,'e',1,1650983078920077000
190,Key.space,0,1650983079037204000
191,'d',1,1650983079053782000
192,Key.space,1,1650983079127127000
193,'c',0,1650983079310982000
194,'o',0,1650983079426840000
195,'c',1,1650983079436689000
196,'a',0,1650983079531193000
197,'o',1,1650983079537005000
198,'a',1,1650983079653850000
199,'c',0,1650983079750471000
200,'c',1,1650983079870242000
201,'h',0,1650983079873200000
202,'h',1,1650983079954750000
203,Key.space,0,1650983080129098000
204,Key.space,1,1650983080224554000
205,'w',0,1650983080319943000
206,'h',0,1650983080388525000
207,'o',0,1650983080480248000
208,'w',1,1650983080499791000
209,'h',1,1650983080514881000
210,'o',1,1650983080584301000
211,Key.space,0,1650983080630899000
212,Key.space,1,1650983080721133000
213,'i',0,1650983080793352000
214,'n',0,1650983080861973000
215,'i',1,1650983080898031000
216,'s',0,1650983080938196000
217,'n',1,1650983080977213000
218,'s',1,1650983081087205000
219,'p',0,1650983081089444000
220,'p',1,1650983081205450000
221,'i',0,1650983081237679000
222,'r',0,1650983081345227000
223,'i',1,1650983081363689000
224,'e',0,1650983081391693000
225,'r',1,1650983081432678000
226,'e',1,1650983081470158000
227,'s',0,1650983081591969000
228,'s',1,1650983081756467000
229,Key.space,0,1650983082771080000
230,Key.space,1,1650983082862977000
231,'a',0,1650983082923765000
232,Key.space,0,1650983083027890000
233,'a',1,1650983083067296000
234,Key.space,1,1650983083108258000
235,'g',0,1650983083646111000
236,'e',0,1650983083725995000
237,'g',1,1650983083726972000
238,'n',0,1650983083843028000
239,'e',1,1650983083848309000
240,'e',0,1650983083921168000
241,'n',1,1650983083977945000
242,'r',0,1650983084013243000
243,'e',1,1650983084053703000
244,'r',1,1650983084104747000
245,'a',0,1650983084196864000
246,'t',0,1650983084328725000
247,'a',1,1650983084355702000
248,'t',1,1650983084388358000
249,'i',0,1650983084580791000
250,'o',0,1650983084704721000
251,'i',1,1650983084771909000
252,'o',1,1650983084817086000
253,Key.backspace,0,1650983085027124000
254,Key.backspace,1,1650983085107265000
255,Key.backspace,0,1650983085205316000
256,Key.backspace,1,1650983085275607000
257,Key.backspace,0,1650983085346386000
258,Key.backspace,1,1650983085420727000
259,Key.backspace,0,1650983085501018000
260,Key.backspace,1,1650983085570399000
261,Key.backspace,0,1650983085655897000
262,Key.backspace,1,1650983085724728000
263,Key.backspace,0,1650983085808063000
264,Key.backspace,1,1650983085875882000
265,Key.backspace,0,1650983085962900000
266,Key.backspace,1,1650983086038539000
267,Key.backspace,0,1650983086115527000
268,Key.backspace,1,1650983086222706000
269,Key.backspace,0,1650983086311695000
270,Key.backspace,1,1650983086432471000
271,'c',0,1650983086959969000
272,'c',1,1650983087132306000
273,'o',0,1650983087227810000
274,'o',1,1650983087300016000
275,'l',0,1650983087405673000
276,'l',1,1650983087465960000
277,'l',0,1650983087523877000
278,'l',1,1650983087607775000
279,'e',0,1650983087615611000
280,'e',1,1650983087740131000
281,'c',0,1650983087787294000
282,'t',0,1650983087829934000
283,'c',1,1650983087917505000
284,'t',1,1650983087966011000
285,'i',0,1650983088137667000
286,'o',0,1650983088229714000
287,'n',0,1650983088353742000
288,'i',1,1650983088361425000
289,'o',1,1650983088387832000
290,'n',1,1650983088441965000
291,Key.space,0,1650983088517536000
292,Key.space,1,1650983088589826000
293,'o',0,1650983088647694000
294,'f',0,1650983088737454000
295,'o',1,1650983088766275000
296,Key.space,0,1650983088811596000
297,'f',1,1650983088846758000
298,Key.space,1,1650983088911976000
299,'s',0,1650983088947999000
300,'t',0,1650983089038686000
301,'s',1,1650983089077792000
302,'t',1,1650983089126060000
303,'u',0,1650983089240488000
