EID ,key ,direction ,time
0,'t',1,1655039605755158000
1,'w',0,1655039606171756000
2,'w',1,1655039606282735000
3,'i',0,1655039606410773000
4,'i',1,1655039606531321000
5,'t',0,1655039606611381000
6,'t',1,1655039606691391000
7,'t',0,1655039606763477000
8,'t',1,1655039606850971000
9,Key.enter,0,1655039607075459000
10,Key.enter,1,1655039607189056000
11,'f',0,1655039615139352000
12,'f',1,1655039615243101000
13,'p',0,1655039615435079000
14,'p',1,1655039615507080000
15,'d',0,1655039615659467000
16,'d',1,1655039615763078000
17,'1',0,1655039616107083000
18,'1',1,1655039616202971000
19,'s',0,1655039617818532000
20,'s',1,1655039617938552000
21,'o',0,1655039617970509000
22,'o',1,1655039618074438000
23,'c',0,1655039618220544000
24,'c',1,1655039618323133000
25,'i',0,1655039618370574000
26,'i',1,1655039618474462000
27,'a',0,1655039618586615000
28,'a',1,1655039618682505000
29,'l',0,1655039619427210000
30,'l',1,1655039619506839000
31,Key.shift_r,0,1655039619858556000
32,'@',0,1655039620394492000
33,'@',1,1655039620466991000
34,Key.shift_r,1,1655039620594376000
35,'g',0,1655039621114494000
36,'g',1,1655039621218878000
37,'m',0,1655039621251286000
38,'m',1,1655039621363134000
39,'a',0,1655039621586679000
40,'a',1,1655039621699117000
41,'i',0,1655039621730347000
42,'i',1,1655039621834455000
43,'l',0,1655039622034147000
44,'l',1,1655039622138799000
45,'.',0,1655039622610497000
46,'.',1,1655039622730274000
47,'c',0,1655039622770294000
48,'c',1,1655039622890221000
49,'o',0,1655039622922231000
50,'o',1,1655039623017940000
51,'m',0,1655039623090003000
52,'m',1,1655039623185977000
53,Key.enter,0,1655039623874197000
54,Key.enter,1,1655039623936828000
55,Key.shift_r,0,1655039625776742000
56,Key.shift_r,1,1655039626215685000
57,Key.shift_r,0,1655039627618971000
58,Key.shift_r,1,1655039627951621000
59,Key.enter,1,1655039628910964000
60,Key.shift_r,0,1655039635613269000
61,'I',0,1655039635844694000
62,Key.shift_r,1,1655039635956456000
63,'i',1,1655039635980593000
64,Key.space,0,1655039636012423000
65,'j',0,1655039636164663000
66,Key.space,1,1655039636171983000
67,'j',1,1655039636260993000
68,'u',0,1655039636340510000
69,'s',0,1655039636405008000
70,'u',1,1655039636436013000
71,'s',1,1655039636532457000
72,'t',0,1655039636668355000
73,Key.space,0,1655039636748401000
74,'t',1,1655039636763631000
75,Key.space,1,1655039636852220000
76,'g',0,1655039636868318000
77,'g',1,1655039636964212000
78,'o',0,1655039636972274000
79,'t',0,1655039637077806000
80,'o',1,1655039637083757000
81,Key.space,0,1655039637180141000
82,'t',1,1655039637220073000
83,Key.space,1,1655039637300176000
84,'c',0,1655039637404812000
85,'c',1,1655039637500240000
86,'o',0,1655039637524153000
87,'o',1,1655039637627891000
88,'a',0,1655039637652066000
89,'a',1,1655039637788202000
90,'c',0,1655039637900099000
91,'h',0,1655039637980158000
92,'c',1,1655039638012333000
93,'h',1,1655039638051839000
94,Key.space,0,1655039638099762000
95,'c',0,1655039638187670000
96,Key.space,1,1655039638216551000
97,'c',1,1655039638299299000
98,'a',0,1655039638411777000
99,'a',1,1655039638531935000
100,'r',0,1655039638667879000
101,'r',1,1655039638779863000
102,'t',0,1655039638867933000
103,'t',1,1655039638971819000
104,'e',0,1655039639060244000
105,'e',1,1655039639155295000
106,'r',0,1655039639227611000
107,'r',1,1655039639307835000
108,'-',0,1655039639883530000
109,'-',1,1655039639963476000
110,'p',0,1655039640147536000
111,'p',1,1655039640235451000
112,'i',0,1655039640739250000
113,'i',1,1655039640859272000
114,'l',0,1655039640979059000
115,'l',1,1655039641051052000
116,'l',0,1655039641131342000
117,'l',1,1655039641235290000
118,'e',0,1655039641267277000
119,'e',1,1655039641363362000
120,'d',0,1655039641539075000
121,'d',1,1655039641635233000
122,Key.space,0,1655039641955110000
123,Key.space,1,1655039642019180000
124,'a',0,1655039642403025000
125,'a',1,1655039642514819000
126,'n',0,1655039642634571000
127,'n',1,1655039642739042000
128,'d',0,1655039642787006000
129,Key.space,0,1655039642962789000
130,'d',1,1655039642994660000
131,Key.space,1,1655039643076023000
132,Key.backspace,0,1655039643666803000
133,Key.backspace,0,1655039644166849000
134,Key.backspace,0,1655039644250249000
135,Key.backspace,0,1655039644333612000
136,Key.backspace,0,1655039644416963000
137,Key.backspace,0,1655039644500254000
138,Key.backspace,0,1655039644583588000
139,Key.backspace,0,1655039644666788000
140,Key.backspace,0,1655039644750210000
141,Key.backspace,0,1655039644833513000
142,Key.backspace,0,1655039644916970000
143,Key.backspace,0,1655039645000236000
144,Key.backspace,0,1655039645083458000
145,Key.backspace,0,1655039645166679000
146,Key.backspace,0,1655039645250135000
147,Key.backspace,0,1655039645333351000
148,Key.backspace,1,1655039645410291000
149,'r',0,1655039646602274000
150,'r',1,1655039646721931000
151,'t',0,1655039646794294000
152,'t',1,1655039646875439000
153,'e',0,1655039647002274000
154,'e',1,1655039647090066000
155,'r',0,1655039647202329000
156,'r',1,1655039647282188000
157,Key.backspace,0,1655039648154029000
158,Key.backspace,1,1655039648305860000
159,Key.backspace,0,1655039648538052000
160,Key.backspace,0,1655039649039729000
161,Key.backspace,0,1655039649123013000
162,Key.backspace,0,1655039649206156000
163,Key.backspace,0,1655039649289555000
164,Key.backspace,0,1655039649372831000
