EID ,key ,direction ,time
0,Key.tab,0,1650982522755827000
1,Key.tab,1,1650982522884620000
2,Key.cmd,1,1650982522931369000
3,<0>,1,1650982523189854000
4,'f',0,1650982524755844000
5,'a',0,1650982524810587000
6,'f',1,1650982524854272000
7,'c',0,1650982524926899000
8,'a',1,1650982524971668000
9,'c',1,1650982525025340000
10,'e',0,1650982525077581000
11,'e',1,1650982525193793000
12,'b',0,1650982525236437000
13,'b',1,1650982525328146000
14,'o',0,1650982525766737000
15,'o',1,1650982525822270000
16,'o',0,1650982525906551000
17,'k',0,1650982525981362000
18,'o',1,1650982526065409000
19,'k',1,1650982526130919000
20,Key.right,0,1650982526654240000
21,Key.right,1,1650982526794755000
22,Key.enter,0,1650982526937537000
23,Key.enter,1,1650982527018105000
24,'f',0,1650982536436372000
25,'f',1,1650982536556381000
26,'p',0,1650982537349964000
27,'p',1,1650982537438252000
28,'d',0,1650982537596084000
29,'d',1,1650982537727456000
30,'l',0,1650982537911356000
31,'l',1,1650982537978669000
32,'s',0,1650982539018137000
33,'s',1,1650982539174454000
34,'o',0,1650982539218918000
35,'o',1,1650982539326327000
36,'c',0,1650982539439930000
37,'c',1,1650982539552079000
38,'i',0,1650982539564039000
39,'i',1,1650982539644448000
40,'a',0,1650982539672034000
41,'a',1,1650982539824315000
42,'l',0,1650982539841267000
43,'l',1,1650982539930479000
44,Key.shift_r,0,1650982541031295000
45,'@',0,1650982541255023000
46,'@',1,1650982541351083000
47,Key.shift_r,1,1650982541383144000
48,'g',0,1650982541625085000
49,'g',1,1650982541717069000
50,'m',0,1650982541894056000
51,'m',1,1650982541997958000
52,'a',0,1650982542005092000
53,'a',1,1650982542114334000
54,'i',0,1650982542179952000
55,'i',1,1650982542256122000
56,'l',0,1650982542373801000
57,'l',1,1650982542462365000
58,'.',0,1650982542583076000
59,'.',1,1650982542687294000
60,'c',0,1650982542762042000
61,'c',1,1650982542865881000
62,'o',0,1650982543039967000
63,'m',0,1650982543167803000
64,'o',1,1650982543206998000
65,'m',1,1650982543296207000
66,Key.tab,0,1650982543501119000
67,Key.tab,1,1650982543624849000
68,Key.shift_r,0,1650982545073959000
69,Key.shift_r,1,1650982545329979000
70,'f',0,1650982556428518000
71,'f',1,1650982556542110000
72,'p',0,1650982556852844000
73,'p',1,1650982556925088000
74,'d',0,1650982556944873000
75,'d',1,1650982557068234000
76,'1',0,1650982557963706000
77,'1',1,1650982558076150000
78,'s',0,1650982558351788000
79,'s',1,1650982558471555000
80,'o',0,1650982558498356000
81,'o',1,1650982558591488000
82,'c',0,1650982558602830000
83,'c',1,1650982558713317000
84,'i',0,1650982558746527000
85,'i',1,1650982558824230000
86,'a',0,1650982558851337000
87,'a',1,1650982558959800000
88,'l',0,1650982559012616000
89,'l',1,1650982559096181000
90,Key.shift_r,0,1650982559264856000
91,'@',0,1650982559337563000
92,Key.shift_r,1,1650982559428817000
93,'2',1,1650982559457409000
94,'g',0,1650982559666500000
95,'g',1,1650982559750924000
96,'m',0,1650982559904749000
97,'a',0,1650982559996712000
98,'m',1,1650982560001015000
99,'a',1,1650982560116203000
100,'i',0,1650982560154682000
101,'i',1,1650982560235004000
102,'l',0,1650982560381158000
103,'l',1,1650982560460902000
104,'.',0,1650982560575870000
105,'.',1,1650982560674980000
106,'c',0,1650982560768766000
107,'c',1,1650982560868767000
108,'o',0,1650982560877041000
109,'m',0,1650982560976760000
110,'o',1,1650982561036622000
111,'m',1,1650982561092489000
112,Key.tab,0,1650982561103555000
113,Key.tab,1,1650982561247742000
114,Key.shift_r,0,1650982561797168000
115,Key.shift_r,1,1650982562188369000
116,Key.shift_r,0,1650982564036686000
117,Key.shift_r,1,1650982564344841000
118,Key.shift_r,0,1650982592798998000
119,Key.shift_r,1,1650982593756639000
120,'e',0,1650982594028330000
121,'e',1,1650982594083334000
122,'e',0,1650982594192033000
123,'e',1,1650982594284506000
124,'i',0,1650982594299111000
125,'n',0,1650982594403546000
126,'i',1,1650982594463214000
127,'n',1,1650982594531653000
128,'g',0,1650982594779394000
129,'g',1,1650982594923409000
130,Key.backspace,0,1650982595138853000
131,Key.backspace,1,1650982595221423000
132,Key.backspace,0,1650982595292670000
133,Key.backspace,1,1650982595364478000
134,Key.backspace,0,1650982595449182000
135,Key.backspace,1,1650982595521076000
136,Key.backspace,0,1650982595593171000
137,Key.backspace,1,1650982595634455000
138,Key.backspace,0,1650982595706889000
139,Key.backspace,1,1650982595815940000
