EID,key,direction,time
0,Key.tab,0,1651768414240758000
1,Key.tab,1,1651768414412364000
2,Key.cmd,1,1651768414440129000
3,<0>,1,1651768414694842000
4,'f',0,1651768416315204000
5,'f',1,1651768416394150000
6,'a',0,1651768416440227000
7,'a',1,1651768416524916000
8,'c',0,1651768416537042000
9,'c',1,1651768416616934000
10,'e',0,1651768416628806000
11,'e',1,1651768416729251000
12,'b',0,1651768416791041000
13,'b',1,1651768416867499000
14,Key.enter,0,1651768417370165000
15,Key.enter,1,1651768417435808000
16,'f',0,1651768421369189000
17,'f',1,1651768421436895000
18,'p',0,1651768421753250000
19,'p',1,1651768421825133000
20,'d',0,1651768421934726000
21,'d',1,1651768422043036000
22,'1',0,1651768423009931000
23,'1',1,1651768423099512000
24,'s',0,1651768423384722000
25,'s',1,1651768423473037000
26,'o',0,1651768423499626000
27,'o',1,1651768423571902000
28,'c',0,1651768423593897000
29,'c',1,1651768423690012000
30,'i',0,1651768423708870000
31,'i',1,1651768423780747000
32,'a',0,1651768423812901000
33,'a',1,1651768423936321000
34,'l',0,1651768423952086000
35,'l',1,1651768424040928000
36,Key.shift,0,1651768425207204000
37,'@',0,1651768425383253000
38,'@',1,1651768425450512000
39,Key.shift,1,1651768425483485000
40,'g',0,1651768425807871000
41,'m',0,1651768425883868000
42,'g',1,1651768425899095000
43,'m',1,1651768425948093000
44,'a',0,1651768426083010000
45,'i',0,1651768426182859000
46,'a',1,1651768426206401000
47,'i',1,1651768426247049000
48,'l',0,1651768426396926000
49,'l',1,1651768426477153000
50,'.',0,1651768426965927000
51,'.',1,1651768427045935000
52,'c',0,1651768427141053000
53,'c',1,1651768427264971000
54,'m',0,1651768427303626000
55,'m',1,1651768427431109000
56,Key.backspace,0,1651768427861783000
57,Key.backspace,1,1651768427922254000
58,'o',0,1651768428086812000
59,'m',0,1651768428162660000
60,'o',1,1651768428227259000
61,'m',1,1651768428260411000
62,Key.shift,0,1651768431033030000
63,Key.shift,1,1651768431348811000
64,Key.shift,0,1651768433051419000
65,Key.shift,1,1651768433374478000
66,Key.shift,0,1651768452784333000
67,'T',0,1651768453697531000
68,'T',1,1651768453790306000
69,Key.shift,1,1651768453821687000
70,'h',0,1651768454004597000
71,'h',1,1651768454072633000
72,'i',0,1651768461061322000
73,'i',1,1651768461106267000
74,'s',0,1651768461162262000
75,'s',1,1651768461274223000
76,Key.space,0,1651768461292743000
77,Key.space,1,1651768461349390000
78,'c',0,1651768461420167000
79,'c',1,1651768461485770000
80,'l',0,1651768461496148000
81,'l',1,1651768461568371000
82,'i',0,1651768461688843000
83,'i',1,1651768461777271000
84,'p',0,1651768461839884000
85,'p',1,1651768461924221000
86,Key.space,0,1651768462080126000
87,Key.space,1,1651768462152954000
88,'m',0,1651768463314076000
89,'m',1,1651768463386253000
90,'a',0,1651768463482107000
91,'a',1,1651768463594486000
92,'d',0,1651768463752079000
93,'d',1,1651768463840303000
94,'e',0,1651768464154078000
95,'e',1,1651768464262360000
96,Key.space,0,1651768464380071000
97,Key.space,1,1651768464448273000
98,'m',0,1651768464594935000
99,'e',0,1651768464651142000
100,'m',1,1651768464652190000
101,'e',1,1651768464719289000
102,Key.space,0,1651768464783023000
103,Key.space,1,1651768464847350000
104,'c',0,1651768464896126000
105,'o',0,1651768464937848000
106,'c',1,1651768464968090000
107,'n',0,1651768465030649000
108,'o',1,1651768465064652000
109,'n',1,1651768465113533000
110,'c',0,1651768465123628000
111,'c',1,1651768465184407000
112,'e',0,1651768465296122000
113,'e',1,1651768465384324000
114,'r',0,1651768465467303000
115,'r',1,1651768465570972000
116,'n',0,1651768465578032000
117,'n',1,1651768465639113000
118,'e',0,1651768465709588000
119,'e',1,1651768465764544000
120,'d',0,1651768465974873000
121,'d',1,1651768466107103000
122,Key.space,0,1651768466195990000
123,Key.space,1,1651768466276473000
124,'a',0,1651768466306560000
125,'b',0,1651768466380289000
126,'a',1,1651768466430870000
127,'b',1,1651768466454936000
128,'o',0,1651768466532108000
129,'u',0,1651768466627906000
130,'o',1,1651768466667557000
131,'u',1,1651768466707901000
132,'t',0,1651768466711958000
133,'t',1,1651768466768282000
134,Key.space,0,1651768466838682000
135,'t',0,1651768466903049000
136,Key.space,1,1651768466918058000
137,'t',1,1651768466967275000
138,'h',0,1651768467097055000
139,'h',1,1651768467145100000
140,'e',0,1651768467289049000
141,'e',1,1651768467396206000
142,Key.space,0,1651768467416075000
143,Key.space,1,1651768467476340000
144,'w',0,1651768467580583000
145,'e',0,1651768467671824000
146,'w',1,1651768467763987000
147,'l',0,1651768467803844000
148,'e',1,1651768467830680000
149,'l',1,1651768467863997000
150,'l',0,1651768467925092000
151,'l',1,1651768468004970000
152,Key.space,0,1651768468102932000
153,Key.space,1,1651768468171088000
154,Key.backspace,0,1651768468440898000
155,Key.backspace,1,1651768468513344000
156,'-',0,1651768468984587000
157,'-',1,1651768469044745000
158,'b',0,1651768469214007000
159,'b',1,1651768469294115000
160,'r',0,1651768469391844000
161,'i',0,1651768469399046000
162,'r',1,1651768469470998000
