EID ,key ,direction ,time
0,Key.tab,0,1651768540428568000
1,Key.tab,1,1651768540576187000
2,Key.cmd,1,1651768540680808000
3,<0>,1,1651768540937064000
4,'i',0,1651768543100564000
5,'n',0,1651768543193193000
6,'i',1,1651768543265104000
7,'n',1,1651768543309092000
8,'s',0,1651768543309610000
9,'s',1,1651768543441447000
10,'t',0,1651768543466076000
11,'t',1,1651768543570837000
12,'a',0,1651768543595110000
13,'a',1,1651768543655521000
14,Key.enter,0,1651768544281121000
15,Key.enter,1,1651768544351628000
16,'f',0,1651768551430353000
17,'f',1,1651768551515617000
18,'p',0,1651768551631454000
19,'p',1,1651768551715779000
20,'d',0,1651768551880014000
21,'d',1,1651768551953733000
22,'s',0,1651768552070471000
23,'s',1,1651768552174285000
24,'o',0,1651768552178301000
25,'o',1,1651768552246629000
26,'c',0,1651768552271634000
27,'c',1,1651768552376282000
28,'i',0,1651768552393460000
29,'i',1,1651768552473730000
30,'a',0,1651768552490335000
31,'a',1,1651768552634889000
32,'l',0,1651768552641578000
33,'l',1,1651768552727395000
34,Key.backspace,0,1651768554407680000
35,Key.backspace,1,1651768554488621000
36,Key.backspace,0,1651768554546169000
37,Key.backspace,1,1651768554625547000
38,Key.backspace,0,1651768554688653000
39,Key.backspace,1,1651768554796646000
40,Key.backspace,0,1651768554828216000
41,Key.backspace,1,1651768555055499000
42,Key.backspace,0,1651768555169015000
43,Key.backspace,1,1651768555274409000
44,Key.backspace,0,1651768555527574000
45,Key.backspace,1,1651768555597845000
46,'1',0,1651768555874577000
47,'1',1,1651768555950839000
48,'s',0,1651768556272167000
49,'s',1,1651768556353617000
50,'o',0,1651768556406580000
51,'o',1,1651768556470415000
52,'c',0,1651768556477530000
53,'c',1,1651768556589697000
54,'i',0,1651768556593283000
55,'i',1,1651768556654658000
56,'a',0,1651768556731115000
57,'l',0,1651768556798204000
58,'a',1,1651768556804969000
59,'l',1,1651768556866060000
60,Key.shift,0,1651768556969589000
61,'@',0,1651768557157486000
62,'@',1,1651768557213031000
63,Key.shift,1,1651768557257865000
64,'g',0,1651768557547518000
65,'g',1,1651768557644991000
66,'m',0,1651768557650311000
67,'m',1,1651768557727595000
68,'a',0,1651768557807181000
69,'i',0,1651768557871559000
70,'a',1,1651768557915242000
71,'i',1,1651768557919487000
72,'l',0,1651768558054536000
73,'l',1,1651768558150644000
74,'.',0,1651768558857429000
75,'.',1,1651768558953798000
76,'c',0,1651768559010234000
77,'o',0,1651768559143429000
78,'c',1,1651768559150666000
79,'m',0,1651768559196572000
80,'o',1,1651768559235269000
81,'m',1,1651768559315316000
82,Key.shift,0,1651768561127324000
83,Key.shift,1,1651768561423482000
84,Key.shift,0,1651768562203269000
85,Key.shift,1,1651768562735388000
86,Key.shift,0,1651768596616939000
87,'T',0,1651768596694215000
88,'T',1,1651768596770076000
89,Key.shift,1,1651768596822663000
90,'h',0,1651768597111455000
91,'h',1,1651768597263536000
92,'i',0,1651768597603351000
93,'i',1,1651768597691154000
94,'s',0,1651768597733330000
95,Key.space,0,1651768597829387000
96,'s',1,1651768597833119000
97,Key.space,1,1651768597909353000
98,'c',0,1651768597942131000
99,'l',0,1651768598015030000
100,'c',1,1651768598061970000
101,'l',1,1651768598078232000
102,'i',0,1651768598181296000
103,'i',1,1651768598249356000
104,'p',0,1651768598825093000
105,'p',1,1651768598905348000
106,Key.space,0,1651768599014259000
107,Key.space,1,1651768599086463000
108,'m',0,1651768599163207000
109,'m',1,1651768599239522000
110,'a',0,1651768599258917000
111,'a',1,1651768599344169000
112,'d',0,1651768599462039000
113,'e',0,1651768599549397000
114,'d',1,1651768599630166000
115,Key.space,0,1651768599678032000
116,'e',1,1651768599693226000
117,Key.space,1,1651768599730409000
118,'m',0,1651768599823383000
119,'m',1,1651768599895039000
120,'e',0,1651768599899101000
121,'e',1,1651768599994425000
122,Key.space,0,1651768600022098000
123,Key.space,1,1651768600074200000
124,'c',0,1651768600134187000
125,'o',0,1651768600202321000
126,'c',1,1651768600238022000
127,'o',1,1651768600286237000
128,'n',0,1651768600294040000
129,'n',1,1651768600313201000
130,'c',0,1651768600336909000
131,'c',1,1651768600405544000
132,'e',0,1651768600514070000
133,'e',1,1651768600629361000
134,Key.backspace,0,1651768601042592000
135,Key.backspace,1,1651768601118160000
136,'e',0,1651768601548157000
137,'e',1,1651768601643762000
138,'r',0,1651768601722763000
139,'r',1,1651768601806486000
140,'n',0,1651768601832182000
141,'n',1,1651768601908125000
142,'e',0,1651768601959853000
143,'e',1,1651768602016512000
144,'d',0,1651768602170335000
145,'d',1,1651768602310360000
146,Key.space,0,1651768602537082000
147,Key.space,1,1651768602577187000
148,'a',0,1651768602792173000
149,'b',0,1651768602868122000
150,'a',1,1651768602903303000
151,'b',1,1651768602923408000
152,'o',0,1651768602979997000
153,'u',0,1651768603094728000
154,'o',1,1651768603144210000
155,'t',0,1651768603179756000
156,'u',1,1651768603183782000
157,'t',1,1651768603268425000
158,Key.space,0,1651768603340816000
159,Key.space,1,1651768603421606000
160,Key.shift,0,1651768603833733000
161,'W',0,1651768604017030000
162,'I',0,1651768604117174000
163,Key.shift,1,1651768604160107000
164,'i',1,1651768604180674000
165,'w',1,1651768604185060000
166,'l',0,1651768604303907000
167,'l',1,1651768604384434000
168,'l',0,1651768604423244000
169,'l',1,1651768604507173000
170,Key.backspace,0,1651768604942021000
171,Key.backspace,1,1651768605007345000
172,Key.backspace,0,1651768605061838000
173,Key.backspace,1,1651768605134445000
174,Key.backspace,0,1651768605185998000
175,Key.backspace,1,1651768605282318000
176,'i',0,1651768605648977000
177,'i',1,1651768605721818000
178,'l',0,1651768605841007000
179,'l',1,1651768605910250000
180,'l',0,1651768605964953000
181,'l',1,1651768606033041000
182,Key.space,0,1651768606169058000
183,Key.space,1,1651768606245168000
184,Key.shift,0,1651768606348996000
185,'S',0,1651768606452839000
186,'M',0,1651768606553165000
187,Key.shift,1,1651768606560688000
188,'s',1,1651768606607904000
189,'m',1,1651768606624917000
190,'i',0,1651768606681045000
191,'i',1,1651768606755018000
