EID,key,direction,time
","1120,Key.cmd,0,1652368101963840000
","1121,Key.tab,0,1652368102243097000
","1122,Key.tab,1,1652368102362949000
","1123,Key.cmd,1,1652368102367538000
","1124,'f',0,1652368104755538000
","1125,'f',1,1652368104837214000
","1126,'a',0,1652368104923949000
","1127,'a',1,1652368105023855000
","1128,'c',0,1652368105024546000
","1129,'c',1,1652368105108484000
","1130,'e',0,1652368105161995000
","1131,'e',1,1652368105246161000
","1132,'b',0,1652368105274960000
","1133,'b',1,1652368105334359000
","1134,'o',0,1652368105465918000
","1135,'o',1,1652368105525426000
","1136,'o',0,1652368105600865000
","1137,'o',1,1652368105671947000
","1138,'k',0,1652368105768852000
","1139,'k',1,1652368105832156000
","1140,'.',0,1652368105963809000
","1141,'.',1,1652368106007718000
","1142,'c',0,1652368106070723000
","1143,'c',1,1652368106149758000
","1144,'o',0,1652368106162343000
","1145,'o',1,1652368106218347000
","1146,'m',0,1652368106276820000
","1147,'m',1,1652368106343962000
","1148,Key.enter,0,1652368108972803000
","1149,Key.enter,1,1652368109040447000
","1150,Key.shift,0,1652368119930500000
","1151,'M',0,1652368120078208000
","1152,'M',1,1652368120145277000
","1153,Key.shift,1,1652368120165367000
","1154,'y',0,1652368120259486000
","1155,'y',1,1652368120343650000
","1156,Key.space,0,1652368120360130000
","1157,Key.space,1,1652368120439335000
","1158,'t',0,1652368120572420000
","1159,'h',0,1652368120680290000
","1160,'t',1,1652368120684235000
","1161,'h',1,1652368120744136000
","1162,'o',0,1652368120817679000
","1163,'o',1,1652368120902334000
","1164,'u',0,1652368120950695000
","1165,'g',0,1652368121019909000
","1166,'u',1,1652368121020726000
","1167,'g',1,1652368121101171000
","1168,'h',0,1652368121152667000
","1169,'h',1,1652368121212962000
","1170,'t',0,1652368121245412000
","1171,'t',1,1652368121321292000
","1172,'s',0,1652368121417350000
","1173,'s',1,1652368121518424000
","1174,Key.space,0,1652368121536007000
","1175,Key.space,1,1652368121636406000
","1176,'r',0,1652368121795449000
","1177,'r',1,1652368121854228000
","1178,'e',0,1652368121959210000
","1179,'e',1,1652368122038653000
","1180,Key.space,0,1652368122042237000
","1181,Key.space,1,1652368122147256000
","1182,Key.backspace,0,1652368122417200000
","1183,Key.backspace,1,1652368122468903000
","1184,Key.backspace,0,1652368122553159000
