EID ,key ,direction ,time
764,Key.cmd,0,1651850974675150000
765,Key.tab,0,1651850974841346000
766,Key.tab,1,1651850974921181000
767,Key.cmd,1,1651850974977612000
768,'f',0,1651850979458848000
769,'f',1,1651850979532142000
770,'a',0,1651850979544015000
771,'a',1,1651850979674304000
772,'c',0,1651850979702279000
773,'c',1,1651850979789831000
774,'e',0,1651850979863242000
775,'e',1,1651850979958787000
776,'b',0,1651850980190278000
777,'b',1,1651850980278570000
778,'o',0,1651850980329221000
779,'o',1,1651850980396272000
780,'o',0,1651850980466226000
781,'o',1,1651850980541268000
782,'k',0,1651850980602268000
783,'k',1,1651850980702333000
784,'.',0,1651850981345182000
785,'.',1,1651850981428986000
786,'c',0,1651850981538066000
787,'o',0,1651850981621075000
788,'c',1,1651850981632935000
789,'o',1,1651850981685271000
790,'m',0,1651850981759219000
791,'m',1,1651850981859706000
792,Key.enter,0,1651850982063136000
793,Key.enter,1,1651850982155128000
794,Key.shift_r,0,1651850993905696000
795,'I',0,1651850994069189000
796,Key.shift_r,1,1651850994186467000
797,'i',1,1651850994186955000
798,Key.space,0,1651850994479135000
799,Key.space,1,1651850994595729000
800,'t',0,1651850994870264000
801,'t',1,1651850994966436000
802,'h',0,1651850994996526000
803,'h',1,1651850995088838000
804,'o',0,1651850995127484000
805,'o',1,1651850995280519000
806,'u',0,1651850995408401000
807,'u',1,1651850995483677000
808,'g',0,1651850995975223000
809,'g',1,1651850996067620000
810,'h',0,1651850996081285000
811,'h',1,1651850996174087000
812,'t',0,1651850996227933000
813,'t',1,1651850996295269000
814,Key.space,0,1651850996361940000
815,Key.space,1,1651850996488543000
816,Key.shift_r,0,1651851012491950000
817,'W',0,1651851012721504000
818,'W',1,1651851012828916000
819,Key.shift_r,1,1651851012917499000
820,Key.backspace,0,1651851014968120000
821,Key.backspace,1,1651851015072707000
822,Key.backspace,0,1651851015438355000
823,Key.backspace,1,1651851015515423000
824,Key.backspace,0,1651851015607846000
825,Key.backspace,1,1651851015676876000
826,Key.backspace,0,1651851015748996000
827,Key.backspace,1,1651851015833271000
828,Key.backspace,0,1651851015904246000
829,Key.backspace,1,1651851015981727000
830,Key.backspace,0,1651851016057741000
831,Key.backspace,1,1651851016142196000
832,Key.backspace,0,1651851016218049000
833,Key.backspace,1,1651851016286323000
834,Key.backspace,0,1651851016381696000
835,Key.backspace,1,1651851016454994000
836,Key.backspace,0,1651851016608467000
837,Key.backspace,1,1651851016704376000
